CODSEC;RBS;PNC;POB
3907501001;25;21;1800
3907501002;3;6;1280
3907501003;9;13;1310
3907501004;3;4;1210
3907501005;14;20;1815
3907501006;24;16;1395
3907501007;25;12;1265
3907501008;30;14;1720
3907501009;38;31;1125
3907501010;15;8;1580
3907501011;0;0;1100
3907502001;3;6;1050
3907502002;12;9;1520
3907502003;18;17;1680
3907502004;19;11;1380
3907502005;42;24;2730
3907502006;11;11;1500
3907502007;22;13;950
3907502008;19;6;1760
3907502009;12;14;1210
3907502010;12;13;1495
3907502011;9;6;1545
3907502012;19;13;1045
3907502013;14;10;2095
3907502014;1;5;970
3907502015;10;7;885
3907502016;5;7;1715
3907502017;7;6;1680
3907502018;44;43;1605
3907502019;27;53;2255
3907502020;13;8;725
3907502021;14;12;1680
3907502022;7;5;1245
3907502023;52;45;2030
3907502024;60;48;2375
3907502025;10;4;850
3907502026;10;13;1290
3907502027;5;13;2125
3907503001;28;33;1935
3907503002;36;26;1980
3907503003;38;19;1990
3907503004;49;21;1825
3907503005;36;31;1255
3907503006;25;22;1990
3907503007;33;16;1100
3907503008;22;16;2030
3907503009;14;23;1595
3907503010;11;13;2415
3907503011;2;9;2710
3907503012;6;9;1170
3907503013;17;11;1730
3907503014;16;16;1415
3907503015;19;12;1490
3907504001;10;3;1665
3907504002;6;16;1780
3907504003;7;8;1205
3907504004;5;5;2680
3907504005;17;15;2375
3907504006;16;18;2000
3907504007;16;7;1500
3907504008;15;19;1405
3907504009;2;5;2455
3907504010;12;9;1705
3907504011;0;14;1145
3907504012;3;3;1475
3907504013;2;7;1725
3907504014;8;8;2190
3907505001;2;12;1270
3907505002;4;6;1580
3907505003;30;19;2100
3907505004;22;19;2640
3907505005;15;9;1420
3907505006;36;19;2060
3907505007;21;17;1220
3907505008;21;19;780
3907505009;11;12;1035
3907505010;21;21;2570
3907505011;31;16;2285
3907505012;27;14;2420
3907505013;28;14;1905
3907505014;17;7;2100
3907505015;20;15;1065
3907506001;34;16;2175
3907506002;47;17;2670
3907506003;19;11;1920
3907506004;21;24;1175
3907506005;14;10;2075
3907506006;32;16;2040
3907506007;23;16;1595
3907506008;15;14;1080
3907506009;30;23;2010
3907506010;13;22;1695
3907506011;11;16;1940
3907506012;32;20;1080
3907506013;23;5;1620
3907506014;24;27;1685
3907507001;19;15;1560
3907507002;13;12;2040
3907507003;19;12;1475
3907507004;24;17;2450
3907507005;15;20;3015
3907507006;17;11;2690
3907507007;10;12;1315
3907507008;27;12;1560
3907507009;24;13;2070
3907507010;5;11;1745
3907507011;14;14;2105
3907507012;11;5;2335
3907507013;24;23;1985
3907507014;24;12;3005
3907507015;27;19;1700
3907507016;20;17;2640
3907507017;3;8;1355
3907507018;24;18;1345
3907507019;1;1;1130
3907507020;24;19;1115
3907507021;22;21;2085
3907507022;10;6;2250
3907507023;7;5;1640
3907508001;17;19;2340
3907508002;19;20;3410
3907508003;7;7;1115
3907508004;14;11;2025
3907508005;54;35;2450
3907508006;20;14;1055
3907508007;8;25;2710
3907508008;16;30;2155
3907508009;11;15;1295
3907508010;4;72;1795
3907508011;28;30;1285
3907508012;24;20;1595
3907508013;22;22;1865
3907508014;29;24;1590
3907508015;39;50;1425
3907508016;5;10;1450
3907508017;22;15;1480
3907508018;32;20;3065
3907508019;0;22;1550
3907508020;57;28;4885
3907508021;17;13;2525
3907508022;4;7;2090
3907508023;9;28;3570
3907508024;12;12;2235
3907508025;16;11;2265
3907508026;50;32;2735
3907508027;2;8;3430
3907508028;12;2;2080
